# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DirectByteBufferAllocator.misses,1777377121637000000,1777377181747000000,211
FilePageCacheLockFree.nativeBytesInUse,1777377121637000000,1777377181747000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1777377121637000000,1777377181747000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1777377121637000000,1777377181747000000,0
DirectByteBufferAllocator.reclaimed,1777377121637000000,1777377181747000000,3
FilePageCacheLockFree.totalPagesWritten,1777377121637000000,1777377181747000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1777377121637000000,1777377181747000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1777377121637000000,1777377181747000000,219168768
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1777377121637000000,1777377181747000000,2454633
FilePageCacheLockFree.totalPagesReclaimed,1777377121637000000,1777377181747000000,0
FilePageCache.totalPageLoadsUs,1777377121637000000,1777377181747000000,258008
StorageLockContext.competingThreads.90P,1777377121637000000,1777377181747000000,0
FilePageCache.totalPageDisposalsUs,1777377121637000000,1777377181747000000,2442
StreamlinedBlobStorage.recordsRelocated,1777377121637000000,1777377181747000000,0
StreamlinedBlobStorage.recordsAllocated,1777377121637000000,1777377181747000000,34387
MappedFileStorage.totalTimeSpentOnMappingUs,1777377121637000000,1777377181747000000,25536
FilePageCacheLockFree.totalPagesHandedOver,1777377121637000000,1777377181747000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1777377121637000000,1777377181747000000,0
MappedFileStorage.totalBytesMapped,1777377121637000000,1777377181747000000,198443008
FilePageCache.pageLoadsAboveSizeThreshold,1777377121637000000,1777377181747000000,0
FilePageCacheLockFree.totalBytesRequested,1777377121637000000,1777377181747000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1777377121637000000,1777377181747000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1777377121637000000,1777377181747000000,0
MappedFileStorage.storages,1777377121637000000,1777377181747000000,15
FilePageCacheLockFree.totalPagesRequested,1777377121637000000,1777377181747000000,0
StorageLockContext.competingThreads.avg,1777377121637000000,1777377181747000000,0.0
FilePageCacheLockFree.housekeeperTurnsSkipped,1777377121637000000,1777377181747000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1777377121637000000,1777377181747000000,0
FilePageCache.pageLoads,1777377121637000000,1777377181747000000,214
FilePageCacheLockFree.totalPagesWriteMs,1777377121637000000,1777377181747000000,0
JVM.usedNativeBytes,1777377121637000000,1777377181747000000,266195376
JVM.totalSafepointCount,1777377121637000000,1777377181747000000,174
JVM.GC.collections,1777377121637000000,1777377181747000000,27
JVM.threadCount,1777377121637000000,1777377181747000000,67
JVM.maxHeapBytes,1777377121637000000,1777377181747000000,2147483648
OS.loadAverage,1777377121637000000,1777377181747000000,10.41064453125
JVM.newThreadsCount,1777377121637000000,1777377181747000000,154
JVM.totalBytesAllocated,1777377121637000000,1777377181747000000,981662632
JVM.totalTimeAtSafepointsMs,1777377121637000000,1777377181747000000,113
JVM.maxThreadCount,1777377121637000000,1777377181747000000,69
JVM.usedHeapBytes,1777377121637000000,1777377181747000000,215202656
JVM.GC.collectionTimesMs,1777377121637000000,1777377181747000000,105
JVM.totalDirectByteBuffersBytes,1777377121637000000,1777377181747000000,220999671
JVM.totalTimeToSafepointsMs,1777377121637000000,1777377181747000000,29
JVM.totalCpuTimeMs,1777377121637000000,1777377181747000000,24087
AWTEventQueue.eventsDispatched,1777377121637000000,1777377181747000000,5
FlushQueue.waitingTimeAvgNs,1777377121637000000,1777377181747000000,122624.0
FlushQueue.executionTimeAvgNs,1777377121637000000,1777377181747000000,39296.0
FlushQueue.executionTimeMaxNs,1777377121637000000,1777377181747000000,39423
FlushQueue.waitingTime90PNs,1777377121637000000,1777377181747000000,122879
NonBlockingReadAction.finalizedExecutionsCount,1777377121637000000,1777377181747000000,5
ReadAction.executionsCount,1777377121637000000,1777377181747000000,49556
FlushQueue.queueSizeMax,1777377121637000000,1777377181747000000,0
FlushQueue.tasksExecuted,1777377121637000000,1777377181747000000,1
NonBlockingReadAction.finalizedExecutionTimeUs,1777377121637000000,1777377181747000000,61028
AWTEventQueue.dispatchTime90PNs,1777377121637000000,1777377181747000000,129535
NonBlockingReadAction.failedExecutionsCount,1777377121637000000,1777377181747000000,0
AWTEventQueue.dispatchTimeMaxNs,1777377121637000000,1777377181747000000,129535
FlushQueue.queueSizeAvg,1777377121637000000,1777377181747000000,0.0
AWTEventQueue.dispatchTimeAvgNs,1777377121637000000,1777377181747000000,71507.2
FlushQueue.queueSize90P,1777377121637000000,1777377181747000000,0
FlushQueue.executionTime90PNs,1777377121637000000,1777377181747000000,39423
FlushQueue.waitingTimeMaxNs,1777377121637000000,1777377181747000000,122879
AWTEventQueue.dispatchTimeTotalNS,1777377121637000000,1777377181747000000,3508826172
NonBlockingReadAction.failedExecutionTimeUs,1777377121637000000,1777377181747000000,0
WriteAction.executionsCount,1777377121637000000,1777377181747000000,11
VFS.fileByIdCache.misses,1777377121637000000,1777377181747000000,447
VFS.contentStorage.recordsStoredSize,1777377121637000000,1777377181747000000,0
VFS.fileChildByName,1777377121637000000,1777377181747000000,1216
VFS.fileByIdCache.hits,1777377121637000000,1777377181747000000,0
VFS.contentStorage.recordsReadSize,1777377121637000000,1777377181747000000,0
VFS.contentStorage.recordsDeduplicated,1777377121637000000,1777377181747000000,0
VFS.invertedFileNameIndex.requests,1777377121637000000,1777377181747000000,0
FileNameCache.totalMisses,1777377121637000000,1777377181747000000,47616
VFS.contentStorage.recordsStoredCompressed,1777377121637000000,1777377181747000000,0
VFS.contentStorage.recordsUncompressedSize,1777377121637000000,1777377181747000000,0
VFS.contentStorage.recordsRead,1777377121637000000,1777377181747000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1777377121637000000,1777377181747000000,0
FileNameCache.queries,1777377121637000000,1777377181747000000,543680
VFS.contentStorage.recordsReadDecompressed,1777377121637000000,1777377181747000000,0
VFS.contentStorage.recordsStored,1777377121637000000,1777377181747000000,0
cacheStateStorage.set.duration,1777377121637000000,1777377181747000000,5
cacheStateStorage.set.counter,1777377121637000000,1777377181747000000,3
cacheStateStorage.get.counter,1777377121637000000,1777377181747000000,23
cacheStateStorage.get.duration,1777377121637000000,1777377181747000000,61
workspaceModel.cachedValueWithParameters.total.get.count,1777377121637000000,1777377181747000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1777377121637000000,1777377181747000000,0
workspaceModel.cachedValue.total.get.count,1777377121637000000,1777377181747000000,101
workspaceModel.workspaceFileIndexData.markDirty.ms,1777377121637000000,1777377181747000000,0
workspaceModel.workspaceFileIndexData.init.ms,1777377121637000000,1777377181747000000,112
workspaceModel.to.snapshot.ms,1777377121637000000,1777377181747000000,0
workspaceModel.cachedValue.calculated.count,1777377121637000000,1777377181747000000,13
workspaceModel.full.replace.project.model.ms,1777377121637000000,1777377181747000000,3
workspaceModel.loading.total.ms,1777377121637000000,1777377181747000000,209
workspaceModel.cachedValue.clear.count,1777377121637000000,1777377181747000000,0
workspaceModel.replace.project.model.ms,1777377121637000000,1777377181747000000,0
workspaceModel.collect.changes.ms,1777377121637000000,1777377181747000000,0
workspaceModel.workspaceFileIndexData.instances.count,1777377121637000000,1777377181747000000,1
workspaceModel.entityStorageSnapshotImpl.instances.count,1777377121637000000,1777377181747000000,20
workspaceModel.init.bridges.ms,1777377121637000000,1777377181747000000,1
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1777377121637000000,1777377181747000000,175
workspaceModel.initializing.ms,1777377121637000000,1777377181747000000,2
workspaceModel.updates.count,1777377121637000000,1777377181747000000,4
workspaceModel.update.unloaded.entities.ms,1777377121637000000,1777377181747000000,0
workspaceModel.loading.from.cache.ms,1777377121637000000,1777377181747000000,197
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1777377121637000000,1777377181747000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1777377121637000000,1777377181747000000,0
workspaceModel.on.before.changed.ms,1777377121637000000,1777377181747000000,17
workspaceModel.check.recursive.update.ms,1777377121637000000,1777377181747000000,1
workspaceModel.cachedValueWithParameters.clear.count,1777377121637000000,1777377181747000000,0
workspaceModel.pre.handlers.ms,1777377121637000000,1777377181747000000,0
workspaceModel.updates.precise.ms,1777377121637000000,1777377181747000000,7
workspaceModel.workspaceFileIndexData.processFileSets.ms,1777377121637000000,1777377181747000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1777377121637000000,1777377181747000000,126
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1777377121637000000,1777377181747000000,1
workspaceModel.cachedValueWithParameters.calculated.count,1777377121637000000,1777377181747000000,0
workspaceModel.on.changed.ms,1777377121637000000,1777377181747000000,16
workspaceModel.cachedValue.from.cache.count,1777377121637000000,1777377181747000000,88
workspaceModel.updates.ms,1777377121637000000,1777377181747000000,46
workspaceModel.cachedValueWithParameters.from.cache.count,1777377121637000000,1777377181747000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1777377121637000000,1777377181747000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1777377181747000000,1777377241681000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1777377181747000000,1777377241681000000,0
IndexesFlusher.totalFlushingTimeUs,1777377181747000000,1777377241681000000,145176
Indexing.cache.totalCacheAccesses,1777377181747000000,1777377241681000000,0
Indexes.entries.lookups,1777377181747000000,1777377241681000000,0
Indexes.entries.lookupDuration90PMs,1777377181747000000,1777377241681000000,0.0
IndexesFlusher.totalFlushesRetried,1777377181747000000,1777377241681000000,0
Indexes.entries.lookupDurationAvgMs,1777377181747000000,1777377241681000000,0.0
Indexing.writer_2.totalTimeSpentWritingMs,1777377181747000000,1777377241681000000,0
IndexesFlusher.totalContentionQuotaSpent,1777377181747000000,1777377241681000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1777377181747000000,1777377241681000000,0
Indexing.writesQueuedMin,1777377181747000000,1777377241681000000,9223372036854775807
Indexes.entries.lookupDurationMaxMs,1777377181747000000,1777377241681000000,0.0
IndexesFlusher.totalFlushes,1777377181747000000,1777377241681000000,59
Indexing.cache.totalCacheMisses,1777377181747000000,1777377241681000000,0
Indexes.stubs.lookupDurationMaxMs,1777377181747000000,1777377241681000000,0.0
Indexing.cache.totalCacheEvicted,1777377181747000000,1777377241681000000,0
Indexes.stubs.lookupDurationAvgMs,1777377181747000000,1777377241681000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1777377181747000000,1777377241681000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1777377181747000000,1777377241681000000,0.0
Indexes.allKeys.lookups,1777377181747000000,1777377241681000000,0
Indexes.stubs.lookupDuration90PMs,1777377181747000000,1777377241681000000,0.0
Indexing.totalTimeIndexersSleptMs,1777377181747000000,1777377241681000000,0
Indexes.stubs.lookups,1777377181747000000,1777377241681000000,0
Indexing.writesQueuedMax,1777377181747000000,1777377241681000000,0
Indexes.allKeys.lookupDuration90PMs,1777377181747000000,1777377241681000000,0.0
workspaceModel.global.apply.state.to.project.builder.ms,1777377181747000000,1777377241681000000,0
workspaceModel.moduleBridge.update.option.ms,1777377181747000000,1777377241681000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1777377181747000000,1777377241681000000,0
workspaceModel.moduleBridge.before.changed.ms,1777377181747000000,1777377241681000000,0
workspaceModel.global.apply.state.to.project.ms,1777377181747000000,1777377241681000000,0
workspaceModel.save.cache.to.file.ms,1777377181747000000,1777377241681000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1777377181747000000,1777377241681000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1777377181747000000,1777377241681000000,0
jps.save.changed.project.entities.ms,1777377181747000000,1777377241681000000,0
jps.save.global.entities.ms,1777377181747000000,1777377241681000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1777377181747000000,1777377241681000000,0
jps.global.initialize.library.bridges.ms,1777377181747000000,1777377241681000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1777377181747000000,1777377241681000000,0
jps.app.storage.content.reader.load.component.ms,1777377181747000000,1777377241681000000,0
workspaceModel.mutableEntityStorage.entities.ms,1777377181747000000,1777377241681000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1777377181747000000,1777377241681000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1777377181747000000,1777377241681000000,0
jps.artifact.entities.serializer.load.entities.ms,1777377181747000000,1777377241681000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1777377181747000000,1777377241681000000,0
jps.apply.loaded.storage.ms,1777377181747000000,1777377241681000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1777377181747000000,1777377241681000000,0
jps.reload.project.entities.ms,1777377181747000000,1777377241681000000,0
workspaceModel.orphan.listener.update.ms,1777377181747000000,1777377241681000000,0
workspaceModel.load.cache.metadata.from.file.ms,1777377181747000000,1777377241681000000,0
jps.storage.jps.conf.reader.load.component.ms,1777377181747000000,1777377241681000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1777377181747000000,1777377241681000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1777377181747000000,1777377241681000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1777377181747000000,1777377241681000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1777377181747000000,1777377241681000000,0
jps.project.serializers.load.ms,1777377181747000000,1777377241681000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1777377181747000000,1777377241681000000,0
jps.module.iml.entities.serializer.save.entities.ms,1777377181747000000,1777377241681000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1777377181747000000,1777377241681000000,0
workspaceModel.mutableEntityStorage.instances.count,1777377181747000000,1777377241681000000,0
jps.facet.change.listener.process.change.events.ms,1777377181747000000,1777377241681000000,0
workspaceModel.global.updates.ms,1777377181747000000,1777377241681000000,0
jps.global.initialize.library.bridges.after.loading.ms,1777377181747000000,1777377241681000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1777377181747000000,1777377241681000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1777377181747000000,1777377241681000000,0
jps.global.handle.changed.events.ms,1777377181747000000,1777377241681000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1777377181747000000,1777377241681000000,0
jps.module.iml.entities.serializer.load.entities.ms,1777377181747000000,1777377241681000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1777377181747000000,1777377241681000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1777377181747000000,1777377241681000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1777377181747000000,1777377241681000000,0
workspaceModel.load.cache.from.file.ms,1777377181747000000,1777377241681000000,0
workspaceModel.do.save.caches.ms,1777377181747000000,1777377241681000000,0
jps.global.get.libraries.ms,1777377181747000000,1777377241681000000,0
jps.global.handle.before.change.events.ms,1777377181747000000,1777377241681000000,0
jps.app.storage.content.writer.save.component.ms,1777377181747000000,1777377241681000000,0
workspaceModel.global.updates.count,1777377181747000000,1777377241681000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1777377181747000000,1777377241681000000,0
jps.facet.change.listener.before.change.events.ms,1777377181747000000,1777377241681000000,0
